x,g,h
1.088,-0.3302191999439604,-0.18297668485899896
1.096,-0.3364653461673066,-0.1828813704119811
1.104,-0.34257057115761974,-0.1825772742628222
1.112,-0.3485343438283857,-0.18206969844323065
1.12,-0.35435617564550453,-0.18136405406310352
1.1280000000000001,-0.3600356204205775,-0.18046585247948496
1.1360000000000001,-0.36557227409436954,-0.1793806965592633
1.1440000000000001,-0.3709657745105831,-0.17811427204346633
1.1520000000000001,-0.37621580118008396,-0.17667233902071036
1.16,-0.3813220750357163,-0.17506072351705504
1.168,-0.3862843581778516,-0.17328530920920776
1.176,-0.3911024536108101,-0.17135202926771592
1.184,-0.3957762049703034,-0.16926685833647684
1.192,-0.4003054962420403,-0.1670358046545884
1.2,-0.404690251471644,-0.16466490232625614
1.208,-0.40893043446602756,-0.1621602037441662
1.216,-0.413026048486378,-0.15952777217142786
1.224,-0.41697713593289776,-0.15677367448688576
1.232,-0.4207837780214548,-0.15390397409829945
1.24,-0.42444609445229436,-0.15092472402758764
1.248,-0.4279642430709642,-0.14784196017203563
1.256,-0.43133841952160784,-0.14466169474507018
1.264,-0.4345688568927799,-0.14138990989991274
1.272,-0.43765582535594133,-0.13803255153913166
1.28,-0.4405996317967866,-0.1345955233128298
1.288,-0.44340061943956416,-0.1310846808079188
1.296,-0.4460591674645451,-0.12750582593065515
1.304,-0.44857569061879965,-0.12386470148433694
1.312,-0.45095063882043845,-0.1201669859437903
1.32,-0.4531844967564808,-0.11641828842800944
1.328,-0.45527778347450676,-0.11262414387205211
1.336,-0.45723105196825437,-0.10879000839903738
1.344,-0.45904488875732363,-0.10492125489284093
1.352,-0.4607199134611457,-0.10102316877183698
1.36,-0.4622567783673806,-0.09710094396379712
1.368,-0.4636561679949036,-0.09315967908181998
1.3760000000000001,-0.46491879865154156,-0.08920437380093746
1.3840000000000001,-0.4660454179867223,-0.08523992543482009
1.3920000000000001,-0.467036804539197,-0.08127112571178684
1.4000000000000001,-0.4678937672799986,-0.07730265774911296
1.408,-0.4686171451507973,-0.07333909322442571
1.416,-0.46920780659781547,-0.06938488974277715
1.424,-0.46966664910146316,-0.0654443883977938
1.432,-0.46999459870185606,-0.06152181152511348
1.44,-0.47019260952037645,-0.05762126064614226
1.448,-0.47026166327744,-0.053746714599992154
1.456,-0.4702027688066275,-0.049902027861291054
1.464,-0.4700169615653427,-0.04609092904139984
1.472,-0.4697053031421575,-0.04231701957041545
1.48,-0.4692688807610025,-0.03858377255719508
1.488,-0.46870880678236393,-0.034894531824493896
1.496,-0.46802621820164525,-0.03125251111617848
1.504,-0.46722227614485196,-0.027660793473348835
1.512,-0.46629816536175794,-0.02412233077608453
1.52,-0.46525509371670987,-0.020639943447415217
1.528,-0.4640942916772274,-0.017216320316010805
1.536,-0.4628170118005548,-0.013854018633985247
1.544,-0.46142452821831936,-0.010555464246115495
1.552,-0.4599181361194517,-0.007322951906689163
1.56,-0.45829915123152076,-0.00415864574011479
1.568,-0.45656890930063887,-0.0010645798413535799
1.576,-0.4547287655700861,0.001957340987835778
1.584,-0.4527800942578089,0.004905340370909697
1.592,-0.45072428803293957,0.007777769360935437
1.6,-0.4485627574914904,0.010573105321545246
1.608,-0.44629693063136705,0.013289950688667701
1.616,-0.44392825232685246,0.01592703161729226
1.624,-0.44145818380270485,0.01848319651755528
1.6320000000000001,-0.43888820210801716,0.020957414484461173
1.6400000000000001,-0.43621979958998214,0.023348773625573496
1.6480000000000001,-0.4334544833677056,0.02565647929102493
1.6560000000000001,-0.430593774806211,0.027879852210205697
1.6640000000000001,-0.4276392089907757,0.030018326539492962
1.672,-0.4245923342017383,0.0320714478253845
1.68,-0.4214547113899172,0.0340388708873928
1.688,-0.4182279136527753,0.03592035762504523
1.696,-0.41491352571146933,0.0377157747533217
1.704,-0.41151314338891576,0.039425091470839134
1.712,-0.4080283730890089,0.04104837706506908
1.72,-0.4044608312771221,0.04258579845884497
1.728,-0.400812143962022,0.04403761770238265
1.736,-0.39708394617932624,0.045404189415000566
1.744,-0.3932778814766311,0.04668595818068443
1.752,-0.3893956014004361,0.047883455901596525
1.76,-0.3854387649849896,0.04899729911358115
1.768,-0.3814090382431784,0.05002818626766479
1.776,-0.37730809365958495,0.0509768949814951
1.784,-0.3731376096858283,0.05184427926460301
1.792,-0.3688992702383122,0.05263126672131082
1.8,-0.3645947641984927,0.05333885573504423
1.808,-0.3602257849157836,0.05396811263773852
1.816,-0.35579402971321267,0.05452016886795878
1.824,-0.35130119939593923,0.05499621812128138
1.832,-0.3467489977627458,0.055397513496408576
1.84,-0.34213913112061,0.055725364640410814
1.848,-0.33747330780246626,0.05598113489641163
1.856,-0.33275323768825993,0.0561662384569489
1.864,-0.3279806317293994,0.05628213752616279
1.872,-0.3231572014767067,0.05633033949387572
1.8800000000000001,-0.31828465861196736,0.05631239412454355
